code,sdown_date,entry_date,gap_pct,open_time,open,mkt,scale_band,mrgn,openable_by_10,net_0930,net_1000,net_1030,net_close
2326,2026-05-08,2026-05-11,-12.75,09:24,4310.0,プライム,小型,貸借,1,-1.592,-1.708,-1.708,-1.824
9444,2026-05-11,2026-05-12,-32.39,15:30,167.0,スタンダード,小型,信用,0,,,,-0.2
278A,2026-05-12,2026-05-13,-19.35,09:23,10000.0,グロース,小型,信用,1,-1.1,6.4,16.4,14.5
485A,2026-05-12,2026-05-13,-11.47,09:12,11580.0,グロース,小型,信用,1,-2.1,7.054,11.631,13.79
6440,2026-05-12,2026-05-13,-8.36,09:12,658.0,プライム,小型,貸借,1,-1.872,-4.455,-5.063,-5.671
6658,2026-05-12,2026-05-13,-10.81,09:15,495.0,スタンダード,小型,信用,1,4.244,1.82,2.022,2.83
9904,2026-05-13,2026-05-14,-17.83,09:18,258.0,スタンダード,小型,信用,1,1.738,2.126,2.126,0.963
247A,2026-05-14,2026-05-15,-20.71,09:33,850.0,グロース,小型,信用,1,,7.8,12.388,5.682
2980,2026-05-14,2026-05-15,-10.23,09:14,2895.0,プライム,小型,貸借,1,-3.136,-6.21,-5.796,-6.728
3103,2026-05-14,2026-05-15,-22.04,15:30,1415.0,スタンダード,小型,貸借,0,,,,-0.2
177A,2026-05-15,2026-05-18,-9.39,09:09,1158.0,グロース,小型,信用,1,-5.209,-6.59,-11.772,2.563
291A,2026-05-15,2026-05-18,-21.83,09:44,1790.0,グロース,小型,信用,1,,2.314,0.75,-0.2
6166,2026-05-15,2026-05-18,-17.51,15:30,471.0,グロース,小型,信用,0,,,,-0.2
4392,2026-05-27,2026-05-28,-8.1,09:09,2064.0,プライム,小型,貸借,1,5.808,11.379,5.178,-1.411
5031,2026-05-27,2026-05-28,-17.95,09:30,640.0,グロース,小型,信用,1,0.269,-1.762,-1.762,-1.762
